"","ASM","USAS","ALM","SBSW","IDR","GROY","NGD","AU","DRD","AG","SATS","WLDN","TPC","WBD","DAN","RERE","SPHR","AGX","VSEC","DG","MAMA","COCO","MNST","BUD","ABEV","BG","ADM","KOF","HSY","FMX","TTI","PARR","BTU","HCC","WWD","POWL","GEL","EC","IMO","THR","SII","CIB","SAN","BBVA","HRTG","AAMI","PUK","RKT","FUTU","DB","ARWR","LQDA","ANAB","RVMD","GH","ADPT","HLF","RNA","EYE","BKD","HL","ATRO","UUUU","KTOS","RKLB","TSAT","FIX","AVAV","CENX","TFPM","NVRI","DBD","CAE","FERG","CTLP","NATL","NOVT","ATKR","SPB","PAR","DHC","BABA","APEI","LAUR","AHR","LINC","WELL","OUT","NLY","AGNC","PL","VSAT","WDC","LPTH","TTMI","LASR","MU","STX","VICR","CLS","LITE","TIGO","IHS","VOD","ESE","VIV","DGII","TLK","ROKU","AD","ARMN","BELFB","GEV","HG","GEF","BTX","KBDC","NCDL","KSPI","CIEN","KEP","FN","ORA","NGL","HE","UGP","ENIC","AQN","CWEN"
"ASM",1,0.603287250015454,0.210678871566649,0.511929487137717,0.390392567097969,0.48961956821167,0.610793699719856,0.557650873762168,0.486989677681457,0.625625102149708,0.0835409304628302,0.210929677579243,0.177814656365698,0.104130178884922,0.234065563724218,0.115291471629832,0.101771445638307,0.281141981379205,0.0746722524562851,0.0908108545292877,0.126178535378966,0.124248525601453,0.0867717372173685,0.155928206659192,0.105609860026908,0.0948188443184398,0.0771705712642593,0.169846701795228,-0.0459410064587997,0.220208872957199,0.233955041018483,0.102846362486006,0.233178507437332,0.184495652062159,0.279672556402246,0.196564266265097,0.20315844890528,0.219986161298244,0.196386410426841,0.142722540982344,0.543459741576007,0.186901052441601,0.267173644437599,0.223490950479161,0.13465074421566,0.212623185435365,0.325369968144737,0.0421880185339547,0.217800076230009,0.260822974894131,0.215101830750863,0.204647527709154,0.0868026396219532,0.165761063405303,0.243986908766321,0.22026584618447,0.07501678426887,0.0868840619472858,0.168524003899527,0.225441025784946,0.573308992682366,0.196605628058819,0.254480733010243,0.228488372285221,0.238903995596026,0.217402319105527,0.184808477128104,0.159404125861164,0.370823639155121,0.595382755347929,0.215034992499791,0.230580192433461,0.222475789919704,0.137347160753958,0.0925590326896722,0.203725986288996,0.115343428080261,0.112732269779437,0.0741857597451917,0.179181294342928,0.153325446301411,0.123134080717869,0.221995409609589,0.233470184159558,0.256338552786893,0.165167424703341,0.274981179059718,0.18335058843009,0.133891683426555,0.146782250074613,0.212576794631589,0.196763988089125,0.274513266088115,0.126360293294157,0.215251809196945,0.274809405496667,0.322111910827398,0.265315081458932,0.13444684163711,0.286508206112592,0.238933315707808,0.23486917067748,0.166905474197224,0.175180593015078,0.183212308094341,0.0946021387607215,0.198069623447451,0.174723509645867,0.155757685388423,0.248274150252073,0.572225932485678,0.193624140704456,0.241216523186841,0.102303846441083,0.162780851995969,0.27383499842732,0.0827267052037632,0.117396802959459,0.25457595476631,0.19553890580488,0.164173232405294,0.271624413735324,0.194516616385162,0.0555945115473382,0.165451595143814,0.121993804472414,0.260852893497339,0.248772575072694,0.262103467579921
"USAS",0.603287250015454,1,0.236516380438834,0.586044029510362,0.390787881507422,0.450612663709637,0.547657824571636,0.581224591598249,0.522544321155878,0.605694179459945,0.0521685636627223,0.174852484824591,0.131799744213931,0.0878677525687055,0.181057995601626,0.0498946991435386,0.173747509387246,0.273982292590254,0.0931420973881665,0.156515407949923,0.107129110944465,0.136229083498023,0.0432071273494239,0.142502613171752,0.15369821388066,0.041394657293926,0.0413389874600298,0.131657245673977,0.0222860000329973,0.177439896886166,0.25696909861846,0.0161654376805647,0.270914688283852,0.248417367072762,0.280222967250673,0.200658134728768,0.159834726174861,0.154116451173724,0.219619454894724,0.18874883741037,0.501177379394172,0.176311509541346,0.27965291192632,0.194169793341664,0.0629007754793771,0.185875031616648,0.265371879447752,0.0624525402648956,0.238485922350608,0.268959018797465,0.175387678899333,0.14605580577186,0.106381982494322,0.21608716752736,0.238711220427958,0.150178701449498,0.068880250132852,0.075417517110177,0.170243245534561,0.212413750667191,0.58993282282376,0.143860513573308,0.376797081957922,0.174256407731076,0.238040445072105,0.266946719939638,0.220473921387641,0.176254921408565,0.415836967383649,0.579686974840768,0.13469648942396,0.255430553897934,0.229841414992761,0.215661152144941,0.0828239996592687,0.202016537969847,0.139058614815639,0.148499794012633,0.0794692154852159,0.14199849247326,0.158875264301772,0.171053887653004,0.133965572374747,0.261203143028066,0.158410795936642,0.181991335282917,0.115692328899579,0.176439734064916,0.110174077467617,0.106617193491135,0.298767668585898,0.203267090158671,0.24186497942999,0.198971871339326,0.247035444596545,0.217602088814754,0.315177235273863,0.247300614003472,0.169483994967079,0.306201641326823,0.287057311302736,0.127182946127369,0.201647094602358,0.145633184318705,0.165693088016527,0.0488913901783217,0.192200405265983,0.182502214201874,0.19691407699557,0.231955886755523,0.547273612153374,0.181089555617254,0.238191702357534,0.069304228025268,0.207572005814882,0.256581461693182,0.0754977562888778,0.0895887672466425,0.178705288705003,0.257750543552877,0.131632666875654,0.299487982118941,0.272538258478646,0.00246932457576031,0.0789396635979007,0.137411127632134,0.257840148947389,0.313112898524443,0.165868639223333
"ALM",0.210678871566649,0.236516380438834,1,0.282744007450494,0.203668269311481,0.182108789641829,0.224653378361142,0.22115297108891,0.249972849325717,0.287434988066687,0.0442739062264405,0.108478947195476,0.156933866124746,0.0519216283696031,0.0958458111662858,0.0821832093490927,0.120189271595581,0.130142019984572,0.15385994624295,0.194972116245245,-0.0914880345686154,0.0169052403126059,0.0718678853897155,0.0522187226141266,0.0705868945466024,-0.0563832454385697,-0.0357877024738776,0.0831231664900165,0.0208914761313449,0.112287839814483,0.151690752689605,0.0317883241991002,0.156811689523339,0.162373050663991,0.213497901469082,0.074875239753151,0.174801421953414,0.025633414530165,-0.000469948928488877,0.154054606198199,0.338439380848681,0.138102543495178,0.270143169548715,0.167704963982765,0.243452327707279,0.156548236989969,0.104836439044202,-0.0123149073315979,0.122968249275387,0.217745022615794,0.0830168732940252,0.12233676901733,-0.0715191202760689,0.0305320580541833,0.150498417718389,0.159732564281341,-0.0300437145253186,-0.042988858184961,0.0841862715508703,0.127983376348691,0.210563893504748,0.121399819371631,0.262209888300721,0.160977708486031,0.178135798404718,0.172150647890919,0.051102242284783,0.272441619223643,0.161364597022802,0.265967139464119,0.144000033281118,0.142456921489527,0.186202156466554,0.177875093269438,0.149384567430208,0.0986294779258407,0.0469866018513136,0.00342240987434605,-0.0430698281368833,0.120552579484712,0.063097209357334,0.0335762841739565,0.14821313017597,0.106234489213295,0.147391695231339,0.119306865616312,0.115010533623103,0.107785667745331,0.0947450972123183,0.110710461149642,0.207825374283574,0.175815892160919,0.0965541038058493,0.291592119073808,0.083246797653282,0.169529209402625,0.0728602719369478,0.067591107117574,0.0235638578943721,0.0707947041479089,0.0495763834671997,0.121247469311443,0.174029513266006,0.144663472225657,0.174636766639907,0.116444784354016,0.143916217654877,0.0835601525989126,0.124665755481985,0.143207332584573,0.194228660021365,0.0775255450873032,0.118077649861222,0.1425013608721,0.130498922533702,0.175365556461066,0.105370497753858,0.0782714255480266,0.0922463825339664,0.0726923395575325,0.0333038385413531,0.0528784435694828,0.0971293202143803,0.0574661560008719,0.0893249484746845,0.0670814675153598,0.0925314360969219,0.174095977813293,0.104755091443002
"SBSW",0.511929487137717,0.586044029510362,0.282744007450494,1,0.346393402508718,0.525256187963481,0.619070272180764,0.709893759071072,0.666361233603822,0.638061808642733,0.098764721719975,0.173371092876923,0.165724573003222,0.164086369454459,0.203558393919749,0.0631571167850638,0.150760325645099,0.225911174995084,0.1672741575681,0.0978296850863024,0.0952406719176517,0.183564660996554,0.134503424169115,0.170858576006661,0.167232376869299,0.121974392149096,0.159701111996092,0.199240950914867,0.0886455146151516,0.235016066703354,0.201926905488649,0.142849307718674,0.309316244663012,0.232195590933463,0.247634946375162,0.137913120544506,0.229552767915036,0.244894012494194,0.267898297642016,0.161546899062118,0.609785346982724,0.26072996048378,0.310159773277625,0.280447675355018,0.136888490968578,0.211579981453507,0.298387777683355,-0.0444175188456522,0.221579410209326,0.326127899363444,0.18009795872967,0.131247167559917,0.123750111993927,0.131241363247287,0.194588216026077,0.124321281574398,0.0659598485714687,-0.0505887474669414,0.182831429595993,0.184748100793435,0.57659474002861,0.185147392518975,0.32451567556614,0.191152204470868,0.210754939374599,0.211931084874653,0.168552564127183,0.249167517807919,0.352020803890567,0.622403150908088,0.23288741071678,0.22669385034597,0.300774611149858,0.0707399119303225,0.162911241586132,0.127783113222223,0.117629773162896,0.171219360881326,0.0550268275870909,0.138812366288014,0.166017890167528,0.219181720858542,0.162762336459632,0.261996025107894,0.226009935373907,0.118883223325997,0.200665007796499,0.191723896080024,0.100994521646172,0.122289152488163,0.245712611236857,0.134960537197862,0.286123940771712,0.106397704275156,0.205128160520997,0.249188365649158,0.261327002290388,0.266459695948714,0.168778784252518,0.292483705827209,0.271287012062356,0.212669910527401,0.141597460360006,0.265543034866027,0.159109904682556,0.136287418942948,0.195039166612962,0.152509086362201,0.187216384449361,0.189736338187143,0.575039185563448,0.224739795237191,0.22391573079,0.0666033642726385,0.226854939737841,0.271045603007073,0.0982801175815239,0.0901577587460718,0.213435890497663,0.19018265057188,0.15994488748883,0.22085061904766,0.215632400726042,0.0916448273051659,0.082657631130123,0.0976928220767207,0.285893653452647,0.200357141590246,0.218594625692788
"IDR",0.390392567097969,0.390787881507422,0.203668269311481,0.346393402508718,1,0.358898445208207,0.383904095766561,0.373877805827039,0.378082329944339,0.41117235602282,0.0620716384765191,0.231767342830846,0.0937084190603854,0.0393980042308824,0.0522223408196945,0.0710654322453584,0.0934142933073623,0.227762377495973,0.0823860434576565,0.067606639459462,0.099057887431315,-0.00323857917061575,0.0665266181529012,0.0177502963276579,0.153390786638815,-0.0616200596335324,0.0563408817899629,0.147055148509622,-0.079552920386326,0.159867871379903,0.109508770766444,-0.00957991378624842,0.229453104678063,0.186174359613139,0.154480331896309,0.108818402935442,0.102275447424987,0.020520448940359,0.03902055563704,-0.0502754145537207,0.385451760785601,0.183875258034598,0.108063953970943,0.0631248338707729,0.118254045880601,0.124018225588177,0.191248163554252,0.0378086545119941,0.139821645659397,0.13476288535046,0.0447493840295729,0.168006271618645,-0.0150037400617462,0.0567198068453562,0.29908018427161,0.0468439589889684,-0.0476577221410642,-0.106608069700108,0.0399480575006018,0.108194877346535,0.443649457800724,0.0926598830848808,0.470860047940328,0.257101947211754,0.248937170353041,0.145505254439651,0.142957704800137,0.181637649540455,0.34128347614606,0.437593579438949,0.156792400982646,0.0646190281296935,0.0848313402369424,0.000332634031088319,0.024863889570267,0.169347367569111,0.0622993432421327,-0.0118071263709532,0.0359913445782647,0.0726726723043384,0.10205209092246,0.0419987155109416,0.153535601037609,0.250947685794411,0.111958038630862,0.0871682726203466,0.120348803899963,0.120004552617778,0.00959107623041835,0.00448052559709981,0.230377421080834,0.160021324679596,0.0682956619998226,0.242517756420224,0.0522967883681794,0.165372372924644,0.152362390372137,0.0891806279289368,0.10742970038322,0.144531759195691,0.153273791772839,0.115358721362995,0.072365198435403,0.0934433868997892,0.0969550216762418,0.0662396037669933,0.0312633467992109,0.0530499886998316,0.061555980122073,0.0987747341757851,0.442632500310699,0.0713100563305975,0.232830495540302,0.0723352730047988,0.0635121923305513,0.195098048007528,0.117430556659238,0.095753481346642,0.166342771997285,0.156785963324519,-0.0143153223577724,0.176585911055188,0.110043460646258,-0.0326466057010488,0.0538350180249947,0.0688160722318081,0.180972633318869,0.0972099242297902,0.120820832986795
"GROY",0.48961956821167,0.450612663709637,0.182108789641829,0.525256187963481,0.358898445208207,1,0.574864869014874,0.561335270669475,0.490986321101531,0.519630217453503,0.0742124632326233,0.147546723575136,0.136108461156313,0.0517186964209367,0.0695623194938845,0.0524035323835569,0.082386835776161,0.226790086072054,0.100881219333053,0.150817652849149,0.0731492469253601,0.0258772072482059,0.0893333893559566,0.0812561994081295,0.0941390764369545,0.00478127520225108,0.0510174088650036,0.114045770903163,0.089828639505194,0.165631253662706,0.0992198158723821,-0.022504446953222,0.144076228424376,0.114923036778673,0.183710845513644,0.145236871242615,0.123158091027051,0.0902391791459017,0.0976056462080044,-0.00486137662362056,0.409915635266318,0.119855764248797,0.248157634046054,0.173444813545963,0.0608528934914771,0.142376084505777,0.110791524939971,-0.0180286548536813,0.184317336132785,0.175309863412467,0.11218358243774,0.0766374390944878,0.0466676340524316,0.138012503292502,0.129899764636717,0.141051911826136,-0.0609709623870433,0.079756488095361,0.0504071463158796,0.0553763587034007,0.463755946104865,0.0759893825039362,0.213020135025657,0.198567980784336,0.191926908106934,0.218250672124979,0.19196507576407,0.104647381117524,0.185434054734874,0.577999263048257,0.0299928078781364,0.162880983489764,0.126794655212432,-0.00417379797577595,0.00464438746346398,0.102695590478643,0.109108308661068,0.0190718992116085,0.0126680412657095,0.0786394654777422,0.147652995259153,0.13919382631416,0.214878317572238,0.172430079172441,0.177946876319311,0.145381071108124,0.178503898778087,0.0657139019685207,0.0284068925070387,0.0376054044437036,0.15349884736107,0.208040953072728,0.148180519297929,0.147861122790497,0.126119898942437,0.213962129752665,0.144013020964382,0.102762703919862,0.0863660279325604,0.205764930692114,0.156467291197872,0.137315715979804,0.123782705423889,0.182533523271087,0.0577558928748042,0.108520355722001,0.127706718384155,0.121362442108736,0.036566292540597,0.166732053136364,0.571896433905717,0.168264914486311,0.174255443760039,0.0617408046707382,0.119923561418558,0.122625776476043,0.0724468024656214,0.0372750513211563,0.159933777710648,0.0932067326718534,0.0650461545765823,0.160901932033163,0.11140545824786,0.0166494036616967,0.0316109443158938,0.0575787097429205,0.307678200439836,0.12333825641738,0.125037918812181
"NGD",0.610793699719856,0.547657824571636,0.224653378361142,0.619070272180764,0.383904095766561,0.574864869014874,1,0.698010531600243,0.65754941163987,0.66918497873032,0.0869969039417043,0.134678528676434,0.145690170241382,0.0387865727139499,0.248085499430694,0.0738342531443977,0.0838244889051214,0.235311216049852,0.0985907197462421,0.137032939375858,0.1277474382052,0.137378898669185,0.0544964767022377,0.167291082791577,0.161359835836719,0.0341307748718193,0.103395868422526,0.214327374352268,0.011292233869476,0.210687802488951,0.145466947344414,-0.0111403892463867,0.281571503240634,0.231106709128832,0.241176478060667,0.116609002577244,0.184038707466771,0.195733110992126,0.13568097118132,0.0893739136050694,0.524340379985493,0.258545790697988,0.237410268741432,0.227996129572223,0.0944031909596014,0.155856502975128,0.218832464912488,-0.022554552559516,0.182329458206817,0.245036520283385,0.155625854703149,0.0929838016751011,0.0744687675800851,0.095237879230277,0.20009317320817,0.0609868385186153,0.0464983673033898,0.0295807006282013,0.0856564183649997,0.175523129828416,0.631576161990166,0.169767559504747,0.258717176980876,0.183559274233889,0.209647707966557,0.263042429866861,0.154412069509591,0.185490549980859,0.30913673975477,0.669562366936437,0.151293968862813,0.228120223880839,0.246370993781691,0.0532880925135294,0.0156478914275205,0.0934749038790948,0.0976247708731263,0.065829832695346,-0.00319644105469294,0.101373417859857,0.186909658026747,0.181304337835079,0.217033135523416,0.210940923097792,0.235184375021869,0.0690563370384491,0.193589269723108,0.0666872088097665,0.0305065863975679,0.0249426199241155,0.271171454142471,0.19947590376489,0.335327636177252,0.0696672576671368,0.146444681391625,0.208806970016769,0.261571872559228,0.349565052138051,0.0310506768376626,0.241591616168586,0.198252610596742,0.185217258378446,0.0950484829620865,0.209174680090964,0.151674660503038,0.101212665910474,0.0922965476773839,0.100023333211334,0.0812956702037242,0.232810701798721,0.652113818103774,0.12397220682705,0.222642891568252,0.0691334517337551,0.143191284557267,0.202170024961183,-0.018857963653533,0.045136931050737,0.15269954409757,0.170544841268331,0.111953021252087,0.129979822631097,0.180141283417685,0.0823312986189206,0.0922561836309096,0.118238888460517,0.300855944018015,0.185919740793182,0.204292987960313
"AU",0.557650873762168,0.581224591598249,0.22115297108891,0.709893759071072,0.373877805827039,0.561335270669475,0.698010531600243,1,0.764879719724591,0.601124384500024,0.0273125341473767,0.134972664627034,0.0761599334831853,-0.00625131647143868,0.108632109267793,-0.0216191938024038,0.0600062118410568,0.211069870685406,0.051207968447916,0.130713575596034,0.0197123604786578,0.100754405251563,0.10107580561157,0.209130649808978,0.157129980034822,0.101877667215922,0.149693157640222,0.218753113225564,0.0954616106681697,0.198581601971723,0.0806186493008459,-0.0126698439669702,0.278814152550148,0.215270160607999,0.176021321667162,0.0526770401581966,0.080438213460556,0.149894037727339,0.208973047071131,0.0864954233186669,0.567214083818706,0.213720343042394,0.255895945376196,0.220812844511293,0.132747879542927,0.130539207814165,0.188919976840957,0.0288546982220969,0.1227875859193,0.221587336686084,0.125005682366848,0.133610668433899,0.0459610248453254,0.10532865334505,0.138676602732827,0.107810385062027,0.0260787023052377,-0.0383307482696625,0.0865595182830499,0.121404312465067,0.596301982856888,0.139573022648308,0.201181609620257,0.130398295776566,0.142137965472449,0.18181078208943,0.125962828414651,0.1438437893145,0.28739641124754,0.747889510743486,0.113067128311018,0.155051869637123,0.202103881574037,0.0555331176400018,-0.00141423761198445,0.0611822924522536,0.0111445180848772,0.0587784114488822,-0.0792554485415265,0.0729453231308052,0.163019622472238,0.0912486145840174,0.222959146203808,0.243615747780624,0.236083342496158,0.0943855857670518,0.228071750954867,0.0673904306320031,0.0228185164859422,0.00744564569397247,0.167097318293936,0.195480383667919,0.214025030875937,0.126210855564722,0.115920343759391,0.162871470420587,0.194795686530442,0.189392480408695,0.0633169409846885,0.186319705866037,0.177771597036918,0.237234471165664,0.191023635734171,0.276672430711926,0.0928239101573426,0.162421948668832,0.0795208500015461,0.0749040630683464,0.0123318930149482,0.15592763781139,0.69023576715118,0.0797480031493704,0.191304506018997,0.0941825438892279,0.135786642860067,0.149617782191961,0.0276716785723648,0.00569364267153079,0.153073811888516,0.146364670094798,0.119993810523904,0.151598846741495,0.171739094892262,0.0266484064105628,0.113728100234428,0.180790405441286,0.271285139799558,0.23552104442627,0.203356482526691
"DRD",0.486989677681457,0.522544321155878,0.249972849325717,0.666361233603822,0.378082329944339,0.490986321101531,0.65754941163987,0.764879719724591,1,0.563260867318637,0.101864995077221,0.0809901950664956,0.0424126639810759,0.00977894908720827,0.00489894133660903,0.00710784220929911,0.000228609410545498,0.169336668842422,0.0544866189908017,0.118486759525098,0.0571699482618466,0.0397413291850642,0.0440699749575042,0.0891010732059268,0.117715264300593,0.0552852872258942,0.0647330682885408,0.166413874899894,0.107818413821465,0.157043025645059,0.099242198216585,-0.0572704664278675,0.194255505029829,0.176149001846028,0.142240551023119,-0.00364126562521627,0.0920783781110981,0.106917839807412,0.114379528488075,0.023488988455965,0.529673510825495,0.216926431206955,0.181887855172286,0.187693888825837,0.144546661075151,0.053918144267549,0.129791756215354,-0.046108820964015,0.0901829503936217,0.178163782217163,0.0881625743343694,0.0926732582347012,-0.0116461355592837,0.0463333920729456,0.157467624684308,0.038996750037642,0.0220939002551151,-0.0874714279439412,0.051564523719725,0.0949995767514894,0.553980672961882,0.165115178058067,0.244754118317567,0.119189038611192,0.0772551999718275,0.182501885137369,0.0900613482137939,0.0962826696231258,0.267505301913608,0.67163744887769,0.0282247069341848,0.0845479832577323,0.127077552857193,-0.0269746868339702,-0.00027588669016186,-0.0035330626517495,-0.0511600844071132,-0.0286644823545382,-0.1148596256052,0.0188881041125922,0.0812248126517445,0.0914344854875037,0.159423110172373,0.194561032403621,0.226672667007247,0.0773994635572561,0.156905861168307,0.00739273750584218,-0.0427366399721008,-0.0526247341721532,0.0916344904270182,0.153483607961273,0.129603676999726,0.119417852437498,0.118715823698622,0.132764245049049,0.112347534640604,0.126107106263536,0.0199651502522794,0.144281428338808,0.146674170544162,0.255022429992403,0.156160803975225,0.168867813841132,0.042764666347693,0.0646101969891083,0.0790404102678067,0.0610169805651286,-0.0321617119416391,0.127804201595742,0.643843210201227,0.0838568370723347,0.117802923465599,0.0614675484551976,-0.0148336937166083,0.0316768822761384,-0.10306865024158,-0.0733817508034948,0.0829907966145188,0.131290395013754,0.100392830628782,0.137036871330515,0.118424691576364,0.0465261337931076,0.0164106359608203,0.0737737285197112,0.243478160173014,0.143368834549268,0.182239925931487
"AG",0.625625102149708,0.605694179459945,0.287434988066687,0.638061808642733,0.41117235602282,0.519630217453503,0.66918497873032,0.601124384500024,0.563260867318637,1,0.109976151233313,0.171362153712692,0.154473678104953,0.156977813624635,0.163073609103836,0.104181292533331,0.0947136513409254,0.249952166883107,0.113374224391246,0.0979996109815319,0.134974054594069,0.0722063230697665,0.058072220846518,0.0972929770807772,0.136875004003185,0.121496835647046,0.152354748680416,0.203101414427298,0.00642336692632878,0.248537004333251,0.224993774328217,0.0715726163985817,0.290207787355539,0.23966518369468,0.241728790284269,0.17014424273252,0.185546975160479,0.21588388424286,0.168408697397156,0.167453388291167,0.501373366070136,0.243283534167828,0.245053262092056,0.192311527991074,0.0829627277605551,0.172788358591866,0.31324510594473,0.0244875163280548,0.21588676253858,0.282792044251286,0.191286283766527,0.158856927644424,0.0574223761842331,0.13427757877421,0.224384519350452,0.11530532760895,0.0933950668763936,0.0175734343058313,0.163749403940898,0.251828112305433,0.744621043856087,0.239802644959415,0.269102181218663,0.269242911219985,0.189076108196211,0.281947122981123,0.172455564892574,0.205714936257025,0.457020097293711,0.627291416976954,0.185248002989022,0.215615284405053,0.231220482920974,0.090718379766801,0.0735459019003561,0.185559584076442,0.157298092405332,0.112229184898304,0.0460140309157238,0.138431885787321,0.165944166637937,0.238396188609218,0.172824618071999,0.271287043619683,0.199531016161572,0.123636390995398,0.153269314986062,0.206927049753835,0.0730720070167497,0.064248901514572,0.291003753171289,0.22102424324822,0.285761613387483,0.147352808301233,0.180970460137359,0.276442254055749,0.316235577177817,0.23720044554598,0.177414223122545,0.270593372009561,0.22996944170823,0.162311684197518,0.194118913517622,0.152255272392986,0.114959154875396,0.0768496590366574,0.140409183556477,0.122327898219084,0.173404790429543,0.268829577223768,0.571010112566825,0.204776776478311,0.265767880834638,-0.0135135087775084,0.283851353193715,0.228367966746813,0.0943117546053856,0.124467571371962,0.198128127388108,0.161671352585098,0.109754646896327,0.217058555259647,0.167814394999406,0.017596306311319,0.104388732547602,0.134373569237452,0.262811244920213,0.184561438341734,0.239810597616658
