"date","open","high","low","close","volume","tenkan_sen","kijun_sen","senkou_span_a","senkou_span_b","chikou_span"
2025-01-30,136.779998779297,139.839996337891,134.020004272461,136.889999389648,492500,159.08,159.08,159.08,159.08,136.89
2025-01-31,138.240005493164,138.240005493164,130.710006713867,136.800003051758,1046000,159.08,159.08,159.08,159.08,136.8
2025-02-03,131.229995727539,137.389999389648,131,133.699996948242,337100,159.08,159.08,159.08,159.08,133.7
2025-02-04,133.910003662109,135.649993896484,127.559997558594,130.759994506836,435700,154.56,159.08,156.82,159.08,130.76
2025-02-05,132.960006713867,144.220001220703,132.960006713867,142.990005493164,603100,150.975,159.08,155.0275,159.08,142.99
2025-02-06,147.740005493164,163.830001831055,145.25,162.119995117188,928400,145.265,159.08,152.1725,159.08,162.12
2025-02-07,163.619995117188,168.259994506836,158,161.600006103516,699200,147.48,159.08,153.28,159.08,161.6
2025-02-10,162.089996337891,162.470001220703,154.550003051758,158.929992675781,371900,147.91,159.08,153.495,159.08,158.93
2025-02-11,156.289993286133,157,149.300003051758,150.990005493164,305500,147.91,159.08,153.495,159.08,150.99
2025-02-12,146.320007324219,150.5,143.910003662109,149.320007324219,341700,147.91,159.08,153.495,159.08,149.32
2025-02-13,150.570007324219,152.360000610352,144.440002441406,148.139999389648,269300,147.91,159.08,153.495,159.08,148.14
2025-02-14,148.630004882812,149.199996948242,145.5,148.589996337891,187100,147.91,159.08,153.495,159.08,148.59
2025-02-18,148.470001220703,150.830001831055,137.220001220703,144.830001831055,480700,150.61,159.08,154.845,159.08,144.83
2025-02-19,143.779998779297,145.350006103516,141.320007324219,144.559997558594,192500,152.74,159.08,155.91,159.08,144.56
2025-02-20,145.279998779297,145.660003662109,138.509994506836,142.539993286133,235100,152.74,159.08,155.91,159.08,142.54
2025-02-21,144.850006103516,145,132.110000610352,133.630004882812,342700,147.29,159.08,153.185,159.08,133.63
2025-02-24,134,134.729995727539,126,126.480003356934,410800,141.5,158.73,150.115,158.73,126.48
2025-02-25,126.300003051758,126.860000610352,119.199996948242,125.569999694824,484500,135.78,155.33,145.555,155.33,125.57
2025-02-26,128.660003662109,133.550003051758,127.889999389648,132.199996948242,347300,135.78,155.33,145.555,155.33,132.2
2025-02-27,132.839996337891,135.360000610352,125,125.389999389648,306500,135.015,155.33,145.1725,155.33,125.39
2025-02-28,124.319999694824,130.380004882812,122.699996948242,130.369995117188,288700,135.015,150.81,142.9125,155.33,130.37
2025-03-03,132.479995727539,134.440002441406,120.169998168945,121.610000610352,409400,132.43,147.225,139.8275,155.33,121.61
2025-03-04,116.860000610352,124.050003051758,112.919998168945,120.730003356934,491500,129.29,140.59,134.94,152.19,120.73
2025-03-05,121.589996337891,126.599998474121,117.849998474121,125.559997558594,257600,128.96,140.59,134.775,152.19,125.56
2025-03-06,120.889999389648,120.889999389648,114.699996948242,116.279998779297,274300,124.14,140.59,132.365,152.19,116.28
2025-03-07,116.569999694824,117.300003051758,107.040000915527,113.800003051758,474100,121.2,137.65,129.425,149.25,113.8
2025-03-10,108.980003356934,110,101.019996643066,104.050003051758,602600,118.19,134.64,126.415,146.24,104.05
2025-03-11,104.279998779297,113.209999084473,103.699996948242,110.819999694824,377000,118.19,134.64,126.415,146.24,110.82
2025-03-12,116.959999084473,117.830001831055,113.25,114.839996337891,276200,117.73,134.64,126.185,146.24,114.84
2025-03-13,114.839996337891,115.319999694824,110.230003356934,113.5,246100,117.73,134.64,126.185,146.24,113.5
2025-03-14,116.5,121.059997558594,115.230003356934,120,227700,113.81,134.64,124.225,146.24,120
2025-03-17,118.959999084473,122.690002441406,118.959999084473,121.029998779297,202600,113.81,134.64,124.225,146.24,121.03
2025-03-18,119,119.059997558594,115.01000213623,117.48999786377,200100,111.855,131.745,121.8,146.24,117.49
2025-03-19,118.029998779297,123.309997558594,117.050003051758,121.849998474121,254600,112.165,129.01,120.5875,146.24,121.85
2025-03-20,119.389999389648,122.550003051758,119.389999389648,120.589996337891,209600,112.165,126.69,119.4275,146.24,120.59
2025-03-21,117.809997558594,121.110000610352,117,120.599998474121,360100,113.505,126.69,120.0975,146.24,120.6
2025-03-24,123.919998168945,129.360000610352,123.889999389648,129.25,273600,119.795,125.925,122.86,146.24,129.25
2025-03-25,128.839996337891,129.360000610352,125.059997558594,127.139999389648,376500,119.795,125.925,122.86,146.24,127.14
2025-03-26,126.839996337891,126.839996337891,118.040000915527,119.519996643066,346800,122.185,123.34,122.7625,146.24,119.52
2025-03-27,118.01000213623,119.569999694824,113.919998168945,115.230003356934,434100,121.64,123.34,122.49,146.24,115.23
2025-03-28,138.100006103516,150.839996337891,135,138.119995117188,1399400,132.38,125.93,129.155,146.24,138.12
2025-03-31,131.110000610352,132,123.430000305176,131.169998168945,735500,132.38,125.93,129.155,146.24,131.17
2025-04-01,131.759994506836,136.119995117188,127.050003051758,134.429992675781,426800,132.38,125.93,129.155,146.24,134.43
2025-04-02,130.949996948242,141.380004882812,129.270004272461,138.020004272461,315000,132.38,125.93,129.155,146.24,138.02
2025-04-03,127.23999786377,133.149993896484,125.150001525879,128.75,402400,132.38,125.93,129.155,146.24,128.75
2025-04-04,119.449996948242,122.360000610352,111.160003662109,120.080001831055,486300,131,125.93,128.465,146.24,120.08
2025-04-07,115.290000915527,135.630004882812,113.830001831055,124.230003356934,644100,131,125.93,128.465,141.72,124.23
2025-04-08,131.220001220703,136.089996337891,124.319999694824,127.480003356934,529700,131,125.93,128.465,138.135,127.48
2025-04-09,127.269996643066,149.009994506836,127.059997558594,141.979995727539,774500,131,125.93,128.465,134.64,141.98
2025-04-10,135.429992675781,142,133.660003662109,138,436300,130.085,125.93,128.0075,134.64,138
2025-04-11,139.710006713867,149.210006713867,137.399993896484,148.169998168945,421700,130.185,125.93,128.0575,134.64,148.17
2025-04-14,152.320007324219,154.100006103516,145,147.610000610352,428000,132.63,127.56,130.095,134.64,147.61
2025-04-15,147.800003051758,150.690002441406,143.830001831055,145.869995117188,300900,132.63,128.9,130.765,134.64,145.87
2025-04-16,144,149.880004882812,143.880004882812,148.720001220703,438600,132.63,132.165,132.3975,134.64,148.72
2025-04-17,147.570007324219,149,144.139999389648,146,686800,133.965,132.165,133.065,134.64,146
2025-04-21,145.039993286133,145.970001220703,126.069999694824,129.910003662109,608400,139.21,132.63,135.92,134.64,129.91
2025-04-22,132.029998779297,136.119995117188,130.350006103516,134.009994506836,280900,140.085,132.63,136.3575,134.64,134.01
2025-04-23,140.779998779297,148,139.979995727539,141.360000610352,360500,140.085,132.63,136.3575,134.64,141.36
2025-04-24,141.5,149.179992675781,141.25,148.660003662109,211100,140.085,132.63,136.3575,131.745,148.66
2025-04-25,148.259994506836,151.759994506836,146.75,151.559997558594,243100,140.085,132.63,136.3575,129.01,151.56
2025-04-28,150.419998168945,153.979995727539,148.25,151.880004882812,287800,140.025,132.63,136.3275,127.56,151.88
2025-04-29,151.139999389648,153.520004272461,148.139999389648,153.410003662109,156700,140.025,132.63,136.3275,127.56,153.41
2025-04-30,148.509994506836,154.089996337891,142.970001220703,153.130004882812,288400,140.08,132.63,136.355,127.56,153.13
2025-05-01,157.789993286133,162.929992675781,155.649993896484,158.800003051758,376200,144.5,137.045,140.7725,131.975,158.8
2025-05-02,161.369995117188,168.660003662109,160.270004272461,163.770004272461,397100,149.505,139.91,144.7075,134.84,163.77
2025-05-05,158.990005493164,167,157.880004882812,165.380004882812,265700,154.32,139.91,147.115,134.84,165.38
2025-05-06,163.089996337891,171.509994506836,162.100006103516,169.470001220703,329700,156.38,141.335,148.8575,136.265,169.47
2025-05-07,166.789993286133,169.320007324219,164,167.899993896484,335700,157.24,141.335,149.2875,136.265,167.9
2025-05-08,172.729995727539,176,166,171.110000610352,311600,159.485,143.58,151.5325,138.51,171.11
2025-05-09,173.389999389648,174.119995117188,168.259994506836,170.279998779297,226200,159.485,143.58,151.5325,138.51,170.28
2025-05-12,179,179,169.789993286133,170.610000610352,292500,160.985,145.08,153.0325,140.01,170.61
2025-05-13,171.589996337891,179.160003662109,171.589996337891,175.520004272461,274900,167.405,146.495,156.95,140.09,175.52
2025-05-14,178.009994506836,181.100006103516,177.009994506836,179.139999389648,350200,169.49,152.71,161.1,141.06,179.14
2025-05-15,176.970001220703,187.380004882812,176.970001220703,183.320007324219,343400,172.63,156.725,164.6775,144.2,183.32
2025-05-16,183.75,188.990005493164,180.630004882812,188.5,432600,175.545,157.53,166.5375,145.005,188.5
2025-05-19,185.039993286133,188.990005493164,183.360000610352,188.979995727539,282200,176.495,157.53,167.0125,145.005,188.98
2025-05-20,189,191,187.419998168945,189.699996948242,267800,178.5,158.535,168.5175,146.01,189.7
