"date","open","high","low","close","volume","tenkan_sen","kijun_sen","senkou_span_a","senkou_span_b","chikou_span"
2025-01-16,109.830001831055,115.519996643066,109.819999694824,110.720001220703,3476900,104.755,101.675,103.215,91.41,110.72
2025-01-17,112,114.190002441406,109.5,113.279998779297,2650300,105.795,101.675,103.735,91.885,113.28
2025-01-21,119.330001831055,119.769996643066,114.349998474121,118.099998474121,3684600,107.92,103.925,105.9225,95.245,118.1
2025-01-22,123.809997558594,131.229995727539,121.860000610352,123.269996643066,4909700,113.65,109.89,111.77,102.365,123.27
2025-01-23,121.089996337891,124.610000610352,120.410003662109,122.919998168945,2734500,113.65,110.375,112.0125,104.505,122.92
2025-01-24,124.150001525879,126.01000213623,121.419998168945,121.690002441406,2410200,113.65,110.375,112.0125,104.505,121.69
2025-01-27,105.629997253418,107.730003356934,86.120002746582,87.3600006103516,17004700,108.675,108.675,108.675,104.505,87.36
2025-01-28,91.6500015258789,95.25,88.5699996948242,94.4800033569336,8526900,108.675,108.675,108.675,104.505,94.48
2025-01-29,98.2300033569336,102.610000610352,97.8300018310547,100.48999786377,8028000,108.675,108.675,108.675,104.505,100.49
2025-01-30,117.099998474121,117.669998168945,111,114.150001525879,10280600,108.675,108.675,108.675,104.505,114.15
2025-01-31,118,133.669998168945,116.599998474121,123.470001220703,11221300,109.895,109.895,109.895,105.725,123.47
2025-02-03,110.800003051758,126.150001525879,109,120.879997253418,8356500,109.895,109.895,109.895,105.725,120.88
2025-02-04,122.690002441406,133.149993896484,120.529998779297,131.979995727539,5376000,109.895,109.895,109.895,107.48,131.98
2025-02-05,135.050003051758,144.270004272461,132.25,143.669998168945,8512100,115.195,115.195,115.195,112.78,143.67
2025-02-06,136,136.009994506836,127.01000213623,133.220001220703,9273200,115.195,115.195,115.195,112.78,133.22
2025-02-07,134.350006103516,140.029998779297,128.779998779297,129.699996948242,5205700,116.42,115.195,115.8075,112.78,129.7
