"date","open","high","low","close","volume","tenkan_sen","kijun_sen","senkou_span_a","senkou_span_b","chikou_span"
2025-01-16,394.070007324219,397.760009765625,387.029998779297,391,2111600,364.63,355.975,360.3025,345.15,391
2025-01-17,393.290008544922,404.130004882812,389.589996337891,401.410003662109,2363800,376.165,359.16,367.6625,348.335,401.41
2025-01-21,405,417.209991455078,395.290008544922,416,4223300,382.705,365.7,374.2025,354.875,416
2025-01-22,430,434.100006103516,418.100006103516,427.100006103516,4973900,391.15,374.145,382.6475,364.485,427.1
2025-01-23,423.630004882812,447.5,422.660003662109,437.709991455078,3925000,399.25,380.845,390.0475,380.845,437.71
2025-01-24,436.929992675781,436.929992675781,416,420.489990234375,4717500,400.255,380.845,390.55,380.845,420.49
2025-01-27,339.600006103516,353,322.299987792969,330,13356800,384.9,380.845,382.8725,380.845,330
2025-01-28,351.415008544922,355.510009765625,317.700012207031,355.119995117188,10396700,382.6,380.845,381.7225,380.845,355.12
2025-01-29,358.299987792969,368.839996337891,346.260009765625,353.25,5449800,382.6,382.6,382.6,380.845,353.25
2025-01-30,365,387.640014648438,364.929992675781,382.940002441406,5682500,382.6,382.6,382.6,380.845,382.94
2025-01-31,385.559997558594,387.079986572266,370.559997558594,372.880004882812,4139500,382.6,382.6,382.6,380.845,372.88
2025-02-03,350.339996337891,367.195007324219,348.950012207031,361.709991455078,4079400,382.6,382.6,382.6,380.845,361.71
2025-02-04,360.600006103516,366.079986572266,349.565002441406,356.529998779297,2766400,382.6,382.6,382.6,380.845,356.53
2025-02-05,363.970001220703,369.475006103516,359.630004882812,367.929992675781,2810000,377.315,382.6,379.9575,380.845,367.93
2025-02-06,365.989990234375,380.049987792969,364.597991943359,374.829986572266,2460800,352.67,382.6,367.635,380.845,374.83
2025-02-07,380.679992675781,389.890014648438,375.390014648438,377.970001220703,2391700,353.795,382.6,368.1975,380.845,377.97
2025-02-10,379.149993896484,385.700012207031,372,385,2078900,368.075,382.6,375.3375,380.845,385
2025-02-11,381.299987792969,383.079986572266,369.369995117188,372.899993896484,2064300,369.42,382.6,376.01,380.845,372.9
2025-02-12,364.760009765625,378.260009765625,359.730010986328,369.649993896484,1825400,369.42,382.6,376.01,380.845,369.65
2025-02-13,376,377.200012207031,360.600006103516,370.309997558594,2609700,369.42,382.6,376.01,380.845,370.31
2025-02-14,369.279998779297,369.279998779297,357,367.589996337891,2238800,369.7275,382.6,376.1638,380.845,367.59
2025-02-18,367.920013427734,377.769989013672,363.350006103516,373.25,2407300,373.445,382.6,378.0225,380.845,373.25
2025-02-19,369.940002441406,376.480010986328,366.25,375.200012207031,1670900,373.445,382.6,378.0225,380.845,375.2
2025-02-20,375.059997558594,383.290008544922,353.109985351562,359.679992675781,3456000,371.5,382.6,377.05,380.845,359.68
2025-02-21,357.600006103516,359.929992675781,325.420013427734,327.880004882812,6965000,355.56,382.6,369.08,380.845,327.88
2025-02-24,327.380004882812,329.386993408203,303.440002441406,315.910003662109,7156900,343.365,375.47,359.4175,375.47,315.91
2025-02-25,307.260009765625,322.10400390625,298,317.690002441406,6835200,340.645,372.75,356.6975,372.75,317.69
2025-02-26,334.829986572266,342.070007324219,327.850006103516,335.239990234375,4676800,340.645,372.75,356.6975,372.75,335.24
2025-02-27,345.179992675781,348.510009765625,322,326.279998779297,4768000,340.645,372.75,356.6975,372.75,326.28
2025-02-28,322.350006103516,336,318.679992675781,335.179992675781,4096600,340.645,372.75,356.6975,372.75,335.18
2025-03-03,334.700012207031,337.429992675781,308.773010253906,315.980010986328,4846200,340.645,367.465,354.055,372.75,315.98
2025-03-04,305.799987792969,321.649993896484,294.450012207031,313.070007324219,6257500,338.87,342.17,340.52,370.975,313.07
2025-03-05,314.549987792969,323.890014648438,311.190002441406,316.799987792969,4617100,327.19,342.17,334.68,370.975,316.8
2025-03-06,306.679992675781,309.079986572266,288.279998779297,293.209991455078,7501000,318.395,339.085,328.74,367.89,293.21
2025-03-07,293,301,279.559997558594,289.299987792969,7397700,314.035,334.725,324.38,363.53,289.3
2025-03-10,275.970001220703,281.369995117188,266.470001220703,270.130004882812,6818800,307.49,328.18,317.835,356.985,270.13
2025-03-11,269.989990234375,291.529998779297,268.510009765625,284.209991455078,5274800,307.49,328.18,317.835,356.985,284.21
