"date","open","high","low","close","volume","tenkan_sen","kijun_sen","senkou_span_a","senkou_span_b","chikou_span"
2025-01-30,245,245.75,223.100006103516,236.369995117188,598400,276.31,273.76,275.035,282.14,236.37
2025-01-31,238.75,242.479995727539,230.789993286133,239.779998779297,635600,276.31,273.76,275.035,273.76,239.78
2025-02-03,225.149993896484,237,225.149993896484,235.800003051758,437800,276.31,273.76,275.035,273.76,235.8
2025-02-04,236,237.210006713867,227.679992675781,233.139999389648,435400,265.55,273.76,269.655,273.76,233.14
2025-02-05,238.490005493164,250.839996337891,236.800003051758,244.850006103516,532200,260.735,273.76,267.2475,273.76,244.85
2025-02-06,249.619995117188,253.429992675781,244.119995117188,244.839996337891,596500,243.55,273.76,258.655,273.76,244.84
2025-02-07,230.050003051758,245.899993896484,218.679992675781,228.830001831055,874300,236.055,273.76,254.9075,273.76,228.83
2025-02-10,230.330001831055,239,219.889999389648,219.889999389648,625700,236.055,273.76,254.9075,273.76,219.89
2025-02-11,217.160003662109,217.979995727539,208.929992675781,210.25,588600,231.18,269.225,250.2025,269.225,210.25
2025-02-12,205.529998779297,210.960006713867,204,209.429992675781,645000,228.715,266.76,247.7375,266.76,209.43
2025-02-13,212.169998168945,219.149993896484,205.770004272461,214.25,499900,228.715,266.76,247.7375,266.76,214.25
2025-02-14,216,217.660003662109,209.759994506836,213.380004882812,255400,228.715,266.76,247.7375,266.76,213.38
2025-02-18,216,222.979995727539,205.910003662109,208.570007324219,503300,228.715,266.76,247.7375,266.76,208.57
2025-02-19,205.729995727539,208.080001831055,191.960006713867,194.350006103516,605700,222.695,260.74,241.7175,260.74,194.35
2025-02-20,192.5,194.5,184.419998168945,188.669998168945,631700,215.16,256.97,236.065,256.97,188.67
2025-02-21,191.979995727539,192,175.169998168945,177.25,668700,207.085,252.345,229.715,252.345,177.25
2025-02-24,177.630004882812,178.179992675781,167.320007324219,169.589996337891,601100,195.15,248.42,221.785,248.42,169.59
2025-02-25,166.300003051758,173,162.410003662109,170.460006713867,618100,192.695,245.965,219.33,245.965,170.46
2025-02-26,175.570007324219,182.440002441406,173.160003662109,173.589996337891,907300,192.695,245.965,219.33,245.965,173.59
2025-02-27,177.630004882812,178.919998168945,165.479995727539,165.479995727539,409300,192.695,245.965,219.33,245.965,165.48
2025-02-28,164.580001831055,169.940002441406,159,169.710006713867,530800,190.99,233.5,212.245,244.26,169.71
2025-03-03,170.910003662109,171.789993286133,153.770004272461,156.100006103516,532000,180.925,226.07,203.4975,241.645,156.1
2025-03-04,150.990005493164,161.279998779297,146.020004272461,155.559997558594,766600,170.26,205.01,187.635,237.77,155.56
2025-03-05,157.460006713867,161.800003051758,153.149993896484,160.759994506836,648500,169.01,199.725,184.3675,237.77,160.76
2025-03-06,154.809997558594,158.949996948242,150.460006713867,157.360000610352,492300,164.23,199.725,181.9775,237.77,157.36
2025-03-07,157.360000610352,163.589996337891,152.399993896484,162.860000610352,467100,164.23,199.725,181.9775,237.77,162.86
2025-03-10,156.589996337891,162.429992675781,152.630004882812,158.199996948242,415600,164.23,199.725,181.9775,237.77,158.2
2025-03-11,161.080001831055,167.520004272461,156.660003662109,163.490005493164,425800,162.47,199.725,181.0975,237.77,163.49
2025-03-12,170.729995727539,174.289993286133,162.630004882812,167.229995727539,538600,160.155,199.725,179.94,237.77,167.23
2025-03-13,167.300003051758,169.899993896484,160.600006103516,166.669998168945,393700,160.155,199.725,179.94,237.77,166.67
2025-03-14,171.25,174.199996948242,168.75,173.360000610352,294300,160.155,199.725,179.94,237.77,173.36
2025-03-17,172.490005493164,182.470001220703,172.490005493164,179.679992675781,385800,166.465,195.96,181.2125,237.77,179.68
2025-03-18,177,184.460006713867,172.25,181.5,487300,167.46,192.51,179.985,237.77,181.5
2025-03-19,183.330001831055,185,176.039993286133,181.509994506836,430800,168.7,184.5,176.6,237.77,181.51
2025-03-20,180.869995117188,185.839996337891,179.929992675781,181.360000610352,225900,169.235,184.5,176.8675,237.77,181.36
2025-03-21,176.740005493164,185.610000610352,175.169998168945,184.220001220703,585800,171.25,184.5,177.875,237.77,184.22
2025-03-24,189.240005493164,197.5,185.25,196.270004272461,347100,179.05,184.5,181.775,237.77,196.27
2025-03-25,195.970001220703,201,193.309997558594,196.110000610352,337600,180.8,184.5,182.65,237.77,196.11
2025-03-26,195.699996948242,195.699996948242,184.800003051758,185.339996337891,282300,184.875,177.05,180.9625,237.77,185.34
2025-03-27,182.720001220703,186.110000610352,179.5,180.919998168945,260700,186.625,173.51,180.0675,237.77,180.92
2025-03-28,178.5,181,173.639999389648,176.720001220703,397300,186.625,173.51,180.0675,237.77,176.72
2025-03-31,168.929992675781,172.5,161.229995727539,170.330001831055,393400,181.115,173.51,177.3125,237.77,170.33
2025-04-01,170.550003051758,176.139999389648,168.210006713867,175.889999389648,201500,181.115,173.51,177.3125,237.77,175.89
2025-04-02,170.130004882812,185.029998779297,169.169998168945,181.300003051758,377200,181.115,173.51,177.3125,237.77,181.3
2025-04-03,165.5,170.830001831055,163.160003662109,169.869995117188,349600,181.115,173.51,177.3125,237.77,169.87
2025-04-04,160.380004882812,167.179992675781,152.889999389648,164.449996948242,564400,176.945,173.51,175.2275,237.77,164.45
2025-04-07,154.600006103516,182.5,154.059997558594,168.809997558594,674300,174.295,173.51,173.9025,227.01,168.81
2025-04-08,179.440002441406,179.970001220703,161,163.770004272461,370000,169.5,173.51,171.505,222.195,163.77
2025-04-09,163.240005493164,185.720001220703,161.949996948242,183.169998168945,746800,169.305,175.73,172.5175,205.01,183.17
2025-04-10,175.350006103516,181.279998779297,168.350006103516,172.960006713867,394400,169.305,175.73,172.5175,199.725,172.96
2025-04-11,174.309997558594,175,166.789993286133,173.220001220703,296600,169.305,176.7,173.0025,199.725,173.22
2025-04-14,179,181.25,167.610000610352,171.970001220703,225200,169.305,176.815,173.06,199.725,171.97
2025-04-15,171.610000610352,175.649993896484,170.130004882812,173.309997558594,219500,169.305,176.945,173.125,199.725,173.31
2025-04-16,168.960006713867,170.639999389648,162.279998779297,166.949996948242,307300,169.305,176.945,173.125,199.725,166.95
2025-04-17,167.75,169.360000610352,163.919998168945,167.240005493164,206700,169.89,176.945,173.4175,199.725,167.24
2025-04-21,165.619995117188,166,154.470001220703,159.380004882812,266000,170.095,176.945,173.52,199.725,159.38
2025-04-22,161.029998779297,168.559997558594,161.029998779297,165.850006103516,207800,170.095,176.945,173.52,199.725,165.85
2025-04-23,175.729995727539,184.5,173.320007324219,174.669998168945,316300,169.485,176.945,173.215,195.96,174.67
2025-04-24,175.389999389648,184.509994506836,175.389999389648,184.339996337891,291200,169.49,176.945,173.2175,192.51,184.34
2025-04-25,184.149993896484,187.119995117188,181.020004272461,186.600006103516,219900,170.795,176.945,173.87,184.5,186.6
2025-04-28,187.940002441406,191,181.5,185.320007324219,169300,172.735,176.945,174.84,184.5,185.32
2025-04-29,184.160003662109,186.850006103516,180.380004882812,185.850006103516,152300,172.735,176.945,174.84,184.5,185.85
2025-04-30,179.729995727539,183.369995117188,177.25,183.110000610352,207300,172.735,176.945,174.84,184.5,183.11
2025-05-01,186.550003051758,195.429992675781,185.940002441406,191.130004882812,324600,174.95,174.295,174.6225,184.5,191.13
2025-05-02,194.009994506836,197.529998779297,191.399993896484,193.229995727539,314800,179.28,175.21,177.245,177.05,193.23
2025-05-05,191.410003662109,193.559997558594,188.039993286133,191.960006713867,214800,185.425,175.21,180.3175,173.51,191.96
2025-05-06,189,192.309997558594,186.210006713867,190.169998168945,304700,186.46,175.21,180.835,173.51,190.17
2025-05-07,186.690002441406,188.649993896484,172.139999389648,174.880004882812,689900,184.835,175.21,180.0225,173.51,174.88
2025-05-08,180,181.199996948242,174.100006103516,177.960006713867,347200,184.835,175.21,180.0225,173.51,177.96
2025-05-09,178.380004882812,180.740005493164,170.990005493164,174.770004272461,422500,184.26,175.21,179.735,173.51,174.77
2025-05-12,184.899993896484,191.759994506836,183.669998168945,187.899993896484,467000,184.26,175.21,179.735,173.51,187.9
2025-05-13,187.759994506836,197.820007324219,187.759994506836,194.880004882812,283500,184.405,175.94,180.1725,173.51,194.88
2025-05-14,196.5,198.190002441406,181.789993286133,184.759994506836,436000,184.59,176.33,180.46,173.51,184.76
2025-05-15,183.220001220703,184,176.899993896484,177.759994506836,438900,184.59,176.33,180.46,173.51,177.76
2025-05-16,178,185.570007324219,176.369995117188,183.169998168945,295700,184.59,176.33,180.46,175.73,183.17
2025-05-19,178.050003051758,182.619995117188,177.110000610352,182.559997558594,175000,184.59,176.33,180.46,175.73,182.56
