"date","open","high","low","close","volume","tenkan_sen","kijun_sen","senkou_span_a","senkou_span_b","chikou_span"
2025-01-30,24.6800003051758,25.25,24.3899993896484,24.5799999237061,605400,25.155,25.155,25.155,25.475,24.58
2025-01-31,24.8500003814697,25.4400005340576,24.5200004577637,24.5900001525879,683800,25.155,25.155,25.155,25.475,24.59
2025-02-03,23.9400005340576,24.5900001525879,23.5699996948242,24.3600006103516,927800,25.14,25.14,25.14,25.475,24.36
2025-02-04,24.1000003814697,24.75,24.1000003814697,24.2999992370605,799500,25.075,25.14,25.1075,25.475,24.3
2025-02-05,24.3299999237061,25.1700000762939,24.1700000762939,24.7800006866455,1157800,24.875,25.14,25.0075,25.475,24.78
2025-02-06,30.4099998474121,30.4099998474121,26.6100006103516,26.7199993133545,2539600,26.99,26.99,26.99,26.68,26.72
2025-02-07,26.2600002288818,26.6399993896484,25.4200000762939,25.75,1090900,26.99,26.99,26.99,26.795,25.75
2025-02-10,25.9799995422363,26.4300003051758,25.4400005340576,25.5,1212400,26.99,26.99,26.99,26.99,25.5
2025-02-11,26.0400009155273,27.0799999237061,25.8700008392334,26.3799991607666,1310000,26.99,26.99,26.99,26.99,26.38
2025-02-12,25.8400001525879,26.1200008392334,25.1100006103516,25.6599998474121,1011200,26.99,26.99,26.99,26.99,25.66
2025-02-13,25.75,26.2099990844727,25.6399993896484,26.1599998474121,758700,26.99,26.99,26.99,26.99,26.16
2025-02-14,26.2099990844727,26.4899997711182,26.0300006866455,26.4500007629395,536700,27.255,26.99,27.1225,26.99,26.45
2025-02-18,26.3299999237061,26.5499992370605,25.8799991607666,26.0400009155273,845200,27.29,26.99,27.14,26.99,26.04
2025-02-19,25.9899997711182,26.4699993133545,25.8099994659424,26.3400001525879,698100,27.76,26.99,27.375,26.99,26.34
2025-02-20,26.3500003814697,26.8899993896484,25.8700008392334,26.0200004577637,663400,26.095,26.99,26.5425,26.99,26.02
2025-02-21,26.3400001525879,26.3400001525879,25.1000003814697,25.3600006103516,726600,26.09,26.99,26.54,26.99,25.36
2025-02-24,25.5499992370605,25.7600002288818,24.6100006103516,24.6299991607666,649100,25.845,26.99,26.4175,26.99,24.63
2025-02-25,24.7700004577637,24.7800006866455,24,24.2399997711182,982900,25.445,26.99,26.2175,26.99,24.24
2025-02-26,24.4300003051758,24.8600006103516,24.4300003051758,24.8299999237061,538400,25.445,26.99,26.2175,26.99,24.83
2025-02-27,24.7900009155273,25.1299991607666,24.0599994659424,24.1000003814697,555700,25.445,26.99,26.2175,26.99,24.1
2025-02-28,23.9599990844727,24.3299999237061,23.6800003051758,24.1100006103516,699600,25.285,26.99,26.1375,26.99,24.11
2025-03-03,24.2099990844727,24.2600002288818,22.5,22.9300003051758,845800,24.695,26.455,25.575,26.455,22.93
2025-03-04,22.6000003814697,23.0900001525879,21.9400005340576,22.7600002288818,609500,24.415,26.175,25.295,26.175,22.76
2025-03-05,22.9200000762939,23.2099990844727,22.6399993896484,23.1599998474121,480800,24.14,26.175,25.1575,26.175,23.16
2025-03-06,22.6299991607666,23.0699996948242,22.4300003051758,22.7000007629395,552400,23.85,26.175,25.0125,26.175,22.7
2025-03-07,22.6599998474121,22.9599990844727,22.0300006866455,22.9599990844727,580900,23.535,26.175,24.855,26.175,22.96
2025-03-10,22.3799991607666,22.6499996185303,21.4699993133545,21.8899993896484,815500,23.3,25.94,24.62,25.94,21.89
2025-03-11,21.9500007629395,22.2800006866455,21.6200008392334,22.0499992370605,747200,23.3,25.94,24.62,25.94,22.05
2025-03-12,22.3700008392334,22.3700008392334,21.8199996948242,22.0100002288818,678200,22.9,25.94,24.42,25.94,22.01
2025-03-13,21.8299999237061,22.0499992370605,21.1100006103516,21.1700000762939,514000,22.685,25.76,24.2225,25.76,21.17
2025-03-14,21.5200004577637,22.0599994659424,21.2900009155273,21.8299999237061,513700,22.16,25.76,23.96,25.76,21.83
2025-03-17,21.75,22.2600002288818,21.6399993896484,22.1299991607666,486200,22.16,24.095,23.1275,25.76,22.13
2025-03-18,21.8799991607666,22.0300006866455,21.75,21.8099994659424,526100,22.09,24.095,23.0925,25.76,21.81
2025-03-19,21.9300003051758,22.8799991607666,21.8500003814697,22.6100006103516,857800,22.035,24.095,23.065,25.76,22.61
2025-03-20,22.3500003814697,22.9200000762939,22.3500003814697,22.6299991607666,703800,22.015,24,23.0075,25.76,22.63
2025-03-21,22.25,22.7999992370605,21.9200000762939,22.7700004577637,1831200,22.015,24,23.0075,25.76,22.77
2025-03-24,23.2000007629395,23.4699993133545,22.9899997711182,23.4200000762939,568900,22.29,24,23.145,25.76,23.42
2025-03-25,23.3799991607666,23.4300003051758,22.8500003814697,22.8899993896484,561600,22.29,24,23.145,25.76,22.89
2025-03-26,22.8899993896484,23.1000003814697,22.1299991607666,22.3199996948242,442300,22.38,24,23.19,25.76,22.32
2025-03-27,22.2600002288818,22.2999992370605,21,21.5400009155273,1227500,22.235,23.945,23.09,25.705,21.54
2025-03-28,21.4699993133545,21.4699993133545,20.6100006103516,20.8600006103516,846200,22.04,23.475,22.7575,25.51,20.86
2025-03-31,20.4400005340576,20.6000003814697,20.0400009155273,20.5100002288818,769000,21.755,22.9,22.3275,25.225,20.51
2025-04-01,20.3700008392334,20.8400001525879,20.25,20.7099990844727,590300,21.755,22.585,22.17,25.225,20.71
2025-04-02,20.2900009155273,21.1700000762939,20.2900009155273,21.0799999237061,605200,21.755,22.585,22.17,25.225,21.08
2025-04-03,20.1700000762939,20.1700000762939,18.3999996185303,18.7800006866455,784900,20.935,21.765,21.35,24.405,18.78
2025-04-04,17.7000007629395,18.1200008392334,16.9300003051758,17.7800006866455,776000,20.18,20.63,20.405,23.67,17.78
2025-04-07,16.9099998474121,18.4400005340576,15.7700004577637,17.9699993133545,852600,19.435,20.015,19.725,23.09,17.97
2025-04-08,18.6700000762939,18.9200000762939,17.1800003051758,17.5699996948242,591000,19.035,19.62,19.3275,23.09,17.57
2025-04-09,17.3700008392334,19.9899997711182,17.1900005340576,19.8400001525879,1043900,18.62,19.62,19.12,23.09,19.84
2025-04-10,18.9300003051758,19.3299999237061,18.1499996185303,18.8199996948242,841900,18.47,19.62,19.045,23.09,18.82
2025-04-11,18.6499996185303,18.8500003814697,18.1499996185303,18.6499996185303,532700,18.47,19.62,19.045,23.09,18.65
2025-04-14,19.2600002288818,19.5200004577637,18.4300003051758,18.6800003051758,544000,18.47,19.62,19.045,23.09,18.68
2025-04-15,18.6399993896484,19.0699996948242,18.2600002288818,18.8199996948242,325800,17.97,19.62,18.795,23.09,18.82
2025-04-16,18.4899997711182,18.7999992370605,18.2299995422363,18.6900005340576,650200,17.88,19.62,18.75,23.09,18.69
2025-04-17,18.7099990844727,18.9099998474121,18.4500007629395,18.6499996185303,342200,17.88,19.62,18.75,23.09,18.65
2025-04-21,18.2800006866455,18.3899993896484,17.9300003051758,18.2099990844727,575400,18.585,19.62,19.1025,23.09,18.21
2025-04-22,18.5300006866455,18.7900009155273,18.25,18.5100002288818,633600,18.59,19.62,19.105,23.09,18.51
2025-04-23,19.3400001525879,19.75,19.0400009155273,19.1100006103516,499000,18.84,19.62,19.23,21.425,19.11
2025-04-24,19.2700004577637,20.0799999237061,19.1200008392334,20.0400009155273,564700,19.005,19.62,19.3125,21.425,20.04
2025-04-25,19.8700008392334,20.4599990844727,19.8400001525879,20.4200000762939,446500,19.195,19.62,19.4075,21.425,20.42
2025-04-28,20.3099994659424,20.6499996185303,19.8700008392334,20.2800006866455,633600,19.29,19.62,19.455,21.33,20.28
2025-04-29,20.0699996948242,20.5799999237061,20.0699996948242,20.4200000762939,511800,19.29,19.62,19.455,21.33,20.42
2025-04-30,19.9799995422363,20.2199993133545,19.5900001525879,20.0200004577637,1090600,19.29,19.6,19.445,21.33,20.02
2025-05-01,24.4300003051758,24.4300003051758,22.5799999237061,23.3500003814697,2127600,21.18,20.1,20.64,21.33,23.35
2025-05-02,23.7999992370605,25.2700004577637,23.6100006103516,25.0300006866455,1222000,21.76,20.52,21.14,21.33,25.03
2025-05-05,24.6399993896484,25.3199996948242,24.5699996948242,24.9099998474121,856800,22.18,20.545,21.3625,21.33,24.91
2025-05-06,24.5,25.2199993133545,24.3099994659424,25.1299991607666,721500,22.22,20.545,21.3825,21.055,25.13
2025-05-07,25.2600002288818,26.0300006866455,25.1499996185303,25.9300003051758,1227000,22.81,20.9,21.855,20.9,25.93
2025-05-08,26.2900009155273,26.5699996948242,25.6800003051758,26.1399993896484,1085300,23.08,21.17,22.125,21.17,26.14
2025-05-09,26.7800006866455,27.4799995422363,26.5,26.8600006103516,794800,23.535,21.625,22.58,21.625,26.86
2025-05-12,28.0599994659424,28.9500007629395,28.0499992370605,28.8999996185303,1282700,24.27,22.36,23.315,22.36,28.9
2025-05-13,29.0200004577637,29.8099994659424,28.9099998474121,29.7999992370605,1144400,26.195,22.79,24.4925,22.79,29.8
2025-05-14,29.6900005340576,30.2099990844727,29.4099998474121,29.6499996185303,1107800,26.91,23.695,25.3025,22.99,29.65
2025-05-15,29.3799991607666,29.5100002288818,28.9799995422363,29.1000003814697,968000,27.26,23.7,25.48,22.99,29.1
2025-05-16,28.9099998474121,29.4200000762939,28.6100006103516,29.3700008392334,839300,27.26,24.07,25.665,22.99,29.37
2025-05-19,28.8500003814697,29.4400005340576,28.6000003814697,29.4200000762939,729300,27.68,24.07,25.875,22.99,29.42
2025-05-20,29.2800006866455,29.6499996185303,29.1599998474121,29.3600006103516,605400,27.945,24.07,26.0075,22.99,29.36
2025-05-21,28.9300003051758,29.4400005340576,28.7900009155273,28.8999996185303,839000,28.355,24.07,26.2125,22.99,28.9
2025-05-22,28.7999992370605,29.3199996948242,28.6599998474121,29.0400009155273,7e+05,29.13,24.07,26.6,22.99,29.04
2025-05-23,28.2099990844727,28.7299995422363,28.1200008392334,28.5900001525879,533000,29.165,24.07,26.6175,22.99,28.59
2025-05-27,29.2099990844727,29.7900009155273,28.8600006103516,29.7800006866455,775500,29.165,24.07,26.6175,22.99,29.78
2025-05-28,29.8799991607666,29.9799995422363,29.5100002288818,29.9599990844727,573500,29.05,24.23,26.64,22.99,29.96
2025-05-29,30.2199993133545,30.3500003814697,29.7199993133545,29.8799991607666,576100,29.235,24.695,26.965,23.06,29.88
2025-05-30,29.6299991607666,29.9899997711182,29.2600002288818,29.8600006103516,750500,29.235,24.735,26.985,23.06,29.86
2025-06-02,29.7299995422363,30.0799999237061,29.4799995422363,29.8400001525879,615200,29.235,24.97,27.1025,23.06,29.84
2025-06-03,30.0100002288818,32.439998626709,29.9099998474121,32.3899993896484,2500200,30.28,26.015,28.1475,24.105,32.39
2025-06-04,32.5299987792969,33.0900001525879,32.2000007629395,32.3699989318848,1866400,30.605,26.34,28.4725,24.43,32.37
2025-06-05,32.4599990844727,34,31.8299999237061,32.1100006103516,1436300,31.06,26.795,28.9275,24.885,32.11
2025-06-06,32.7099990844727,33.3600006103516,32.5699996948242,33.2200012207031,927200,31.43,28.29,29.86,24.885,33.22
2025-06-09,33.6399993896484,35.7900009155273,33.6199989318848,35.7000007629395,2136400,32.525,29.7,31.1125,25.78,35.7
2025-06-10,35.7099990844727,36.2700004577637,35.3800010681152,36.189998626709,1577800,32.765,30.29,31.5275,26.02,36.19
2025-06-11,36.3600006103516,37.0499992370605,36.1699981689453,36.5800018310547,1975100,33.155,30.68,31.9175,26.41,36.58
2025-06-12,36.25,37.189998626709,36.0800018310547,36.4199981689453,1640900,33.335,31.17,32.2525,26.48,36.42
2025-06-13,35.5499992370605,36.0900001525879,35.0099983215332,35.3800010681152,1268300,33.55,31.435,32.4925,26.48,35.38
2025-06-16,36.2299995422363,37.7400016784668,35.9300003051758,37.0900001525879,2062400,34.785,32.12,33.4525,26.755,37.09
2025-06-17,36.7299995422363,37.5,36.1699981689453,36.4000015258789,1126800,34.785,32.895,33.84,26.755,36.4
2025-06-18,36.5299987792969,37.6399993896484,36.5,36.9700012207031,1502600,35.155,32.93,34.0425,26.755,36.97
2025-06-20,37.5,37.8800010681152,36.3300018310547,36.689998626709,1877500,35.75,33,34.375,26.825,36.69
2025-06-23,36.4199981689453,36.9799995422363,35.5200004577637,36.9500007629395,1572500,36.445,33,34.7225,27.53,36.95
2025-06-24,37.0800018310547,37.9300003051758,36.6500015258789,37.8699989318848,1419300,36.47,33.025,34.7475,27.56,37.87
2025-06-25,38.0699996948242,40.5699996948242,38.0499992370605,39.2000007629395,2730400,37.79,34.345,36.0675,29.25,39.2
2025-06-26,39.3899993896484,40.3600006103516,39.3300018310547,39.8600006103516,2025100,37.79,34.345,36.0675,29.25,39.86
2025-06-27,40.189998626709,40.5800018310547,39.939998626709,40.25,2372000,38.05,34.35,36.2,29.255,40.25
2025-06-30,40.4300003051758,41.5400009155273,40.3899993896484,40.8199996948242,2292800,38.53,34.83,36.68,29.735,40.82
2025-07-01,40.5499992370605,41.4199981689453,40.0099983215332,40.6199989318848,2063800,38.53,34.83,36.68,29.735,40.62
2025-07-02,40.2599983215332,42.0099983215332,40.0200004577637,41.7599983215332,1401800,38.765,35.435,37.1,29.97,41.76
2025-07-03,41.8499984741211,44.4300003051758,41.3400001525879,44.0200004577637,2151800,39.975,36.845,38.41,31.18,44.02
2025-07-07,43.2400016784668,43.7200012207031,41.7000007629395,41.8800010681152,2671500,40.54,36.845,38.6925,31.34,41.88
2025-07-08,43.5200004577637,45,42.4000015258789,42.6300010681152,2568500,41.525,37.13,39.3275,32.02,42.63
2025-07-09,42.7099990844727,44.3300018310547,42.1699981689453,43.9900016784668,2149500,42.165,37.24,39.7025,32.06,43.99
2025-07-10,43.7700004577637,44.5200004577637,43.2900009155273,43.8800010681152,1636400,42.47,37.455,39.9625,32.295,43.88
2025-07-11,43.4599990844727,44.4099998474121,43,44.1100006103516,1091900,42.505,38.415,40.46,32.295,44.11
2025-07-14,43.7599983215332,45.2400016784668,43.3199996948242,44.2999992370605,1871300,42.625,38.535,40.58,32.415,44.3
2025-07-15,45.4500007629395,46.2799987792969,44.8300018310547,45.7900009155273,2548800,43.15,39.425,41.2875,32.935,45.79
2025-07-16,45.8400001525879,46.5099983215332,45.3899993896484,45.810001373291,1916600,43.925,40.065,41.995,34.545,45.81
2025-07-17,45.810001373291,47.6300010681152,45.7700004577637,46.2200012207031,2082300,44.665,41.32,42.9925,35.62,46.22
2025-07-18,46.7599983215332,46.7599983215332,44.75,45.0299987792969,2969000,44.9,41.32,43.11,35.97,45.03
2025-07-21,45.3499984741211,48.5900001525879,45.0999984741211,47.4700012207031,5789800,45.38,41.8,43.59,36.45,47.47
2025-07-22,47.0499992370605,47.1699981689453,43.5,45.0400009155273,3270200,45.795,41.8,43.7975,36.87,45.04
2025-07-23,45.5800018310547,46.6599998474121,45.3800010681152,46.4599990844727,1883700,45.795,42.055,43.925,37.135,46.46
2025-07-24,46.560001373291,46.560001373291,44.2599983215332,44.2700004577637,1977800,45.955,42.055,44.005,37.545,44.27
2025-07-25,44.6399993896484,45.8899993896484,44.5099983215332,45.2900009155273,2128000,46.045,42.055,44.05,38.32,45.29
2025-07-28,45.7999992370605,46.1500015258789,45.2999992370605,45.9500007629395,1761500,46.045,42.055,44.05,38.355,45.95
2025-07-29,47.0499992370605,50.060001373291,46.9099998474121,48.5200004577637,4039900,46.78,42.79,44.785,39.09,48.52
2025-07-30,48.6800003051758,50.4300003051758,48.2200012207031,48.7299995422363,5149400,46.965,43.54,45.2525,39.275,48.73
2025-07-31,47.189998626709,51.1500015258789,46.310001373291,47.25,5728000,47.325,44.6,45.9625,39.635,47.25
2025-08-01,45.3600006103516,45.3899993896484,42.8400001525879,43.3400001525879,5241100,46.995,45.24,46.1175,39.635,43.34
2025-08-04,44.4700012207031,45.4599990844727,44.25,44.8300018310547,2578000,46.995,45.545,46.27,39.635,44.83
2025-08-05,44.9599990844727,45.5200004577637,43.4099998474121,43.8499984741211,2137100,46.995,45.58,46.2875,39.635,43.85
2025-08-06,43.7400016784668,43.7700004577637,42.3400001525879,43.2099990844727,2084300,46.745,45.58,46.1625,39.635,43.21
2025-08-07,44.1699981689453,44.2000007629395,42.8199996948242,43.3600006103516,1590100,46.745,45.585,46.165,39.635,43.36
2025-08-08,43.5499992370605,45.4300003051758,42.9000015258789,45.2799987792969,1807300,46.745,46.245,46.495,40.005,45.28
2025-08-11,45.4500007629395,46.1100006103516,44.4300003051758,44.6100006103516,2021400,46.745,46.425,46.585,40.205,44.61
2025-08-12,45.2000007629395,46.75,44.939998626709,46.6300010681152,1332400,46.745,46.66,46.7025,40.205,46.63
2025-08-13,47.1300010681152,47.5,44.5499992370605,44.9599990844727,1859500,44.92,46.66,45.79,40.205,44.96
2025-08-14,43.5999984741211,43.9799995422363,41.9300003051758,42.6199989318848,2323300,44.715,46.54,45.6275,40.315,42.62
2025-08-15,42.3600006103516,42.4199981689453,40.7799987792969,41.7999992370605,3586600,44.14,45.965,45.0525,40.53,41.8
2025-08-18,41.6100006103516,42.0999984741211,41.189998626709,41.8199996948242,1323300,44.14,45.965,45.0525,41.49,41.82
2025-08-19,41.4900016784668,41.5299987792969,39.9300003051758,40.5,2511600,43.715,45.54,44.6275,41.49,40.5
2025-08-20,40.4300003051758,40.7999992370605,39.2000007629395,40.060001373291,2196800,43.35,45.175,44.2625,41.86,40.06
2025-08-21,40.1199989318848,40.939998626709,39.6599998474121,40.7799987792969,2295500,43.35,45.175,44.2625,42.385,40.78
2025-08-22,40.8600006103516,44.6100006103516,40.4599990844727,44.4300003051758,2773900,43.35,45.175,44.2625,43.08,44.43
2025-08-25,44.439998626709,45.1399993896484,44,44.0900001525879,1421200,43.35,45.175,44.2625,43.08,44.09
2025-08-26,44.0699996948242,45.9300003051758,44.0699996948242,44.8699989318848,2284100,42.565,45.175,43.87,43.08,44.87
2025-08-27,44.7599983215332,44.8699989318848,43.2799987792969,44.5,1839400,42.565,45.175,43.87,43.08,44.5
2025-08-28,45.2000007629395,46.9900016784668,44.8600006103516,46.9000015258789,1888700,43.095,45.175,44.135,43.335,46.9
2025-08-29,46.4099998474121,46.5900001525879,44.3800010681152,44.5699996948242,1517800,43.095,45.175,44.135,43.335,44.57
2025-09-02,42.8800010681152,45.0499992370605,42.689998626709,44.9599990844727,2557400,43.095,45.175,44.135,43.335,44.96
2025-09-03,45.3899993896484,46.5200004577637,45.0999984741211,46.2299995422363,1532900,43.325,45.175,44.25,43.335,46.23
2025-09-04,46.2999992370605,47.3300018310547,45.8800010681152,46.0699996948242,1162300,43.895,45.175,44.535,43.335,46.07
2025-09-05,47.689998626709,49.4599990844727,46.2799987792969,47.7000007629395,2167000,46.075,45.175,45.625,43.9,47.7
2025-09-08,47.7999992370605,48.4799995422363,46.4599990844727,47,1731000,46.075,44.33,45.2025,44.6,47
2025-09-09,46.9300003051758,47.8300018310547,45.7299995422363,47.5999984741211,2384500,46.075,44.33,45.2025,45.175,47.6
2025-09-10,48.5900001525879,49.5800018310547,48.060001373291,49.4300003051758,1675300,46.135,44.39,45.2625,45.175,49.43
2025-09-11,49.5200004577637,49.6699981689453,48.2999992370605,48.3199996948242,1775700,46.18,44.435,45.3075,45.175,48.32
2025-09-12,48.1100006103516,48.2599983215332,46.5,46.7700004577637,2018900,46.18,44.435,45.3075,45.175,46.77
2025-09-15,46.9099998474121,49.5900001525879,46.0099983215332,49.4000015258789,2338400,47.385,44.435,45.91,45.175,49.4
2025-09-16,49.2299995422363,50.310001373291,48.4099998474121,50.2700004577637,1948300,48.02,44.755,46.3875,45.175,50.27
2025-09-17,50.1599998474121,50.3300018310547,47.8800010681152,49.0299987792969,3022700,48.03,44.765,46.3975,45.175,49.03
2025-09-18,51,52.9500007629395,50.1199989318848,52.8400001525879,3345400,49.34,46.075,47.7075,46.075,52.84
2025-09-19,53.2000007629395,53.939998626709,51.2000007629395,52.1199989318848,3779200,49.835,46.57,48.2025,46.57,52.12
2025-09-22,52.0200004577637,54.4599990844727,51.7299995422363,54.2400016784668,3217000,50.235,46.83,48.5325,46.83,54.24
2025-09-23,55.0099983215332,58.7400016784668,54.9700012207031,56.5400009155273,3302700,52.375,48.97,50.6725,48.97,56.54
