"date","open","high","low","close","volume","tenkan_sen","kijun_sen","senkou_span_a","senkou_span_b","chikou_span"
2025-01-16,100.430000305176,102.470001220703,99.1600036621094,101.779998779297,183800,95.58,104.335,99.9575,106.305,101.78
2025-01-17,102.360000610352,104.849998474121,101.809997558594,103.379997253418,503200,96.77,104.125,100.4475,106.305,103.38
2025-01-21,103.98999786377,107.48999786377,103.269996643066,104.779998779297,254200,98.09,104.125,101.1075,106.305,104.78
2025-01-22,104.269996643066,106.180000305176,103.529998779297,105.730003356934,162600,98.09,102.425,100.2575,106.305,105.73
2025-01-23,105,107.040000915527,104.110000610352,106.959999084473,163900,98.09,100.28,99.185,106.305,106.96
2025-01-24,107.019996643066,108,105.400001525879,106.120002746582,189900,98.97,99.71,99.34,106.305,106.12
2025-01-27,105.230003356934,106.900001525879,100,100.26000213623,266600,100.4,99.695,100.0475,106.305,100.26
2025-01-28,100.150001525879,103.589996337891,100,103.180000305176,125400,103.325,99.695,101.51,106.305,103.18
2025-01-29,103.029998779297,104.23999786377,101.819999694824,102.879997253418,129200,103.58,98.345,100.9625,106.305,102.88
2025-01-30,104.300003051758,104.76000213623,101.959999084473,103.050003051758,146300,104,98.345,101.1725,106.305,103.05
2025-01-31,103.029998779297,105.690002441406,101.699996948242,102.349998474121,169200,104,98.345,101.1725,105.275,102.35
2025-02-03,100.23999786377,104.309997558594,99.7300033569336,102.150001525879,179600,103.865,98.345,101.105,105.275,102.15
2025-02-04,101.290000915527,103.559997558594,101.139999389648,103.559997558594,82700,103.865,98.345,101.105,105.275,103.56
2025-02-05,104.349998474121,106.059997558594,104.279998779297,105.150001525879,93300,103.865,98.345,101.105,105.275,105.15
2025-02-06,105.430000305176,106.459999084473,103.430000305176,105.970001220703,118900,103.315,98.345,100.83,105.275,105.97
2025-02-07,105.720001220703,107.73999786377,105.139999389648,105.680000305176,158100,103.735,98.345,101.04,105.275,105.68
2025-02-10,106.51000213623,108.269996643066,105.819999694824,106.819999694824,118000,104,98.48,101.24,105.275,106.82
2025-02-11,105.800003051758,107.01000213623,103.129997253418,106.540000915527,143900,104,98.48,101.24,105.275,106.54
2025-02-12,104.809997558594,106.800003051758,100.139999389648,100.900001525879,215400,104,98.48,101.24,104.335,100.9
2025-02-13,103.199996948242,103.199996948242,92.6999969482422,93.0899963378906,454200,100.485,98.48,99.4825,104.335,93.09
2025-02-14,93.0999984741211,97.870002746582,91.5500030517578,97.2799987792969,284000,99.91,98.48,99.195,104.335,97.28
2025-02-18,97.5899963378906,99.620002746582,96.129997253418,99.3000030517578,306200,99.91,98.48,99.195,104.335,99.3
2025-02-19,98.2399978637695,102.339996337891,96.5299987792969,101.959999084473,267500,99.91,99.105,99.5075,104.335,101.96
2025-02-20,102.589996337891,103.26000213623,99.8199996948242,102,152500,99.91,99.91,99.91,104.335,102
2025-02-21,103.180000305176,103.910003662109,98.129997253418,100.01000213623,378300,99.91,99.91,99.91,104.335,100.01
2025-02-24,100.120002746582,101.25,98.0299987792969,98.0299987792969,188800,99.28,99.91,99.595,104.335,98.03
2025-02-25,98.5999984741211,102.169998168945,98.2699966430664,100.559997558594,315400,99.175,99.91,99.5425,104.335,100.56
2025-02-26,101.059997558594,103.169998168945,99.6500015258789,101,238000,97.73,99.91,98.82,104.125,101
2025-02-27,110.620002746582,121.5,107.290000915527,117.819999694824,611800,106.525,106.525,106.525,105.095,117.82
2025-02-28,116.449996948242,120.400001525879,114.319999694824,118.5,324700,108.815,106.525,107.67,105.095,118.5
2025-03-03,119.220001220703,120.279998779297,112.730003356934,113.419998168945,243400,109.015,106.525,107.77,105.095,113.42
2025-03-04,110.860000610352,118.080001831055,108.860000610352,115.930000305176,383800,109.765,106.525,108.145,105.095,115.93
2025-03-05,115.470001220703,118.980003356934,113.980003356934,118.150001525879,275300,109.765,106.525,108.145,105.095,118.15
2025-03-06,116.019996643066,117.110000610352,112.980003356934,115.629997253418,190900,109.765,106.525,108.145,105.095,115.63
2025-03-07,115.580001831055,116.470001220703,111.709999084473,116.319999694824,209000,109.885,106.525,108.205,105.095,116.32
2025-03-10,114.449996948242,115.5,111.779998779297,113.970001220703,272500,110.575,106.525,108.55,105.095,113.97
2025-03-11,114.610000610352,118.730003356934,111.73999786377,117.569999694824,320600,114.395,106.525,110.46,105.095,117.57
2025-03-12,118.75,123.970001220703,117.139999389648,118.370002746582,380300,116.415,107.76,112.0875,106.33,118.37
2025-03-13,118.769996643066,119.26000213623,111.819999694824,112.620002746582,258200,116.415,107.76,112.0875,106.33,112.62
2025-03-14,113.930000305176,115.690002441406,112.559997558594,113.889999389648,215000,116.415,107.76,112.0875,106.33,113.89
